rating_diff,player,piece,count
62,black,pawn,12
62,black,rook,49
62,black,bishop,16
62,black,knight,21
62,black,queen,58
62,black,king,0
0,white,pawn,26
0,white,rook,193
0,white,bishop,85
0,white,knight,90
0,white,queen,240
0,white,king,1
0,black,pawn,26
0,black,rook,101
0,black,bishop,75
0,black,knight,81
0,black,queen,172
0,black,king,2
234,white,pawn,8
234,white,rook,14
234,white,bishop,8
234,white,knight,19
234,white,queen,26
234,white,king,0
234,black,pawn,3
234,black,rook,19
234,black,bishop,13
234,black,knight,10
234,black,queen,26
234,black,king,0
781,white,pawn,2
781,white,rook,4
781,white,bishop,2
781,white,knight,2
781,white,queen,4
781,white,king,0
781,black,pawn,0
781,black,rook,2
781,black,bishop,3
781,black,knight,1
781,black,queen,0
781,black,king,0
25,white,pawn,21
25,white,rook,97
25,white,bishop,40
25,white,knight,38
25,white,queen,145
25,white,king,0
25,black,pawn,19
25,black,rook,80
25,black,bishop,46
25,black,knight,50
25,black,queen,114
25,black,king,1
294,white,pawn,3
294,white,rook,10
294,white,bishop,4
294,white,knight,7
294,white,queen,9
294,white,king,0
294,black,pawn,0
294,black,rook,14
294,black,bishop,3
294,black,knight,2
294,black,queen,4
294,black,king,0
149,white,pawn,5
149,white,rook,15
149,white,bishop,12
149,white,knight,8
149,white,queen,26
149,white,king,0
149,black,pawn,5
149,black,rook,28
149,black,bishop,9
149,black,knight,13
149,black,queen,39
149,black,king,0
73,white,pawn,17
73,white,rook,39
73,white,bishop,16
73,white,knight,33
73,white,queen,51
73,white,king,0
73,black,pawn,14
73,black,rook,31
73,black,bishop,15
73,black,knight,31
73,black,queen,60
73,black,king,0
125,white,pawn,6
125,white,rook,31
125,white,bishop,20
125,white,knight,11
125,white,queen,51
125,white,king,1
125,black,pawn,3
125,black,rook,40
125,black,bishop,11
125,black,knight,15
125,black,queen,38
125,black,king,0
39,white,pawn,23
39,white,rook,64
39,white,bishop,42
39,white,knight,25
39,white,queen,188
39,white,king,0
39,black,pawn,28
39,black,rook,72
39,black,bishop,41
39,black,knight,42
39,black,queen,108
39,black,king,0
151,white,pawn,6
151,white,rook,14
151,white,bishop,16
151,white,knight,25
151,white,queen,45
151,white,king,0
151,black,pawn,4
151,black,rook,21
151,black,bishop,17
151,black,knight,17
151,black,queen,24
151,black,king,0
144,white,pawn,7
144,white,rook,19
144,white,bishop,16
144,white,knight,25
144,white,queen,26
144,white,king,1
144,black,pawn,6
144,black,rook,35
144,black,bishop,20
144,black,knight,31
144,black,queen,40
144,black,king,1
32,white,pawn,9
32,white,rook,46
32,white,bishop,45
32,white,knight,34
32,white,queen,124
32,white,king,0
32,black,pawn,17
32,black,rook,45
32,black,bishop,22
32,black,knight,39
32,black,queen,33
32,black,king,0
38,white,pawn,21
38,white,rook,93
38,white,bishop,43
38,white,knight,58
38,white,queen,94
38,white,king,0
38,black,pawn,16
38,black,rook,73
38,black,bishop,42
38,black,knight,50
38,black,queen,92
38,black,king,0
136,white,pawn,11
136,white,rook,39
136,white,bishop,24
136,white,knight,26
136,white,queen,54
136,white,king,0
136,black,pawn,7
136,black,rook,28
136,black,bishop,11
136,black,knight,22
136,black,queen,51
136,black,king,0
43,white,pawn,24
43,white,rook,51
43,white,bishop,21
43,white,knight,35
43,white,queen,74
43,white,king,0
43,black,pawn,7
43,black,rook,51
43,black,bishop,25
43,black,knight,41
43,black,queen,71
43,black,king,0
34,white,pawn,22
34,white,rook,78
34,white,bishop,59
34,white,knight,29
34,white,queen,157
34,white,king,1
34,black,pawn,9
34,black,rook,58
34,black,bishop,29
34,black,knight,43
34,black,queen,84
34,black,king,0
325,white,pawn,3
325,white,rook,16
325,white,bishop,13
325,white,knight,27
325,white,queen,19
325,white,king,0
325,black,pawn,1
325,black,rook,14
325,black,bishop,11
325,black,knight,6
325,black,queen,4
325,black,king,0
252,white,pawn,3
252,white,rook,39
252,white,bishop,4
252,white,knight,11
252,white,queen,13
252,white,king,0
252,black,pawn,3
252,black,rook,26
252,black,bishop,17
252,black,knight,4
252,black,queen,21
252,black,king,0
37,white,pawn,10
37,white,rook,65
37,white,bishop,18
37,white,knight,25
37,white,queen,68
37,white,king,1
37,black,pawn,8
37,black,rook,84
37,black,bishop,48
37,black,knight,36
37,black,queen,100
37,black,king,0
115,white,pawn,5
115,white,rook,9
115,white,bishop,17
115,white,knight,22
115,white,queen,51
115,white,king,0
115,black,pawn,3
115,black,rook,26
115,black,bishop,15
115,black,knight,17
115,black,queen,26
115,black,king,0
3,white,pawn,15
3,white,rook,114
3,white,bishop,54
3,white,knight,42
3,white,queen,141
3,white,king,1
3,black,pawn,11
3,black,rook,112
3,black,bishop,47
3,black,knight,32
3,black,queen,127
3,black,king,0
67,white,pawn,13
67,white,rook,64
67,white,bishop,31
67,white,knight,25
67,white,queen,68
67,white,king,0
67,black,pawn,9
67,black,rook,57
67,black,bishop,24
67,black,knight,42
67,black,queen,77
67,black,king,0
79,white,pawn,13
79,white,rook,47
79,white,bishop,22
79,white,knight,31
79,white,queen,56
79,white,king,0
79,black,pawn,4
79,black,rook,61
79,black,bishop,16
