rating_average,winner,count
1925,white,2
1925,black,3
1925,draw,1
1944,white,10
1944,black,11
1944,draw,1
1926,white,17
1926,black,9
1926,draw,0
1754,white,18
1754,black,6
1754,draw,2
1757,white,1
1757,black,6
1757,draw,0
1675,white,3
1675,black,3
1675,draw,0
1072,white,2
1072,black,2
1072,draw,0
1102,white,2
1102,black,1
1102,draw,0
1146,white,5
1146,black,1
1146,draw,0
1504,white,28
1504,black,17
1504,draw,1
2240,white,1
2240,black,2
2240,draw,0
2084,white,2
2084,black,2
2084,draw,1
2333,white,0
2333,black,0
2333,draw,1
2166,white,5
2166,black,1
2166,draw,0
2123,white,3
2123,black,2
2123,draw,0
1976,white,6
1976,black,10
1976,draw,3
1669,white,4
1669,black,4
1669,draw,0
1406,white,30
1406,black,18
1406,draw,1
1507,white,10
1507,black,8
1507,draw,1
1457,white,16
1457,black,10
1457,draw,3
1444,white,21
1444,black,26
1444,draw,1
1486,white,18
1486,black,19
1486,draw,0
1525,white,3
1525,black,3
1525,draw,0
1620,white,13
1620,black,17
1620,draw,0
1528,white,19
1528,black,15
