rating_diff,player,piece_moved,piece_taken,count
141,black,knight,bishop,5
141,black,knight,knight,8
141,black,knight,queen,2
141,black,queen,pawn,18
141,black,queen,rook,4
141,black,queen,bishop,9
141,black,queen,knight,6
141,black,queen,queen,7
141,black,king,pawn,10
141,black,king,rook,7
141,black,king,bishop,2
141,black,king,knight,1
141,black,king,queen,1
746,white,pawn,pawn,3
746,white,pawn,rook,0
746,white,pawn,bishop,0
746,white,pawn,knight,1
746,white,pawn,queen,1
746,white,rook,pawn,0
746,white,rook,rook,1
746,white,rook,bishop,0
746,white,rook,knight,1
746,white,rook,queen,0
746,white,bishop,pawn,1
746,white,bishop,rook,0
746,white,bishop,bishop,0
746,white,bishop,knight,1
746,white,bishop,queen,0
746,white,knight,pawn,2
746,white,knight,rook,1
746,white,knight,bishop,1
746,white,knight,knight,0
746,white,knight,queen,0
746,white,queen,pawn,0
746,white,queen,rook,0
746,white,queen,bishop,2
746,white,queen,knight,0
