rating_diff,player,square,count
206,white,1,10
206,white,2,23
206,white,25,17
206,white,34,14
206,white,57,1
206,white,3,22
206,white,56,3
206,white,24,20
206,white,23,17
206,white,29,18
206,white,20,33
206,white,51,7
206,white,15,7
206,white,60,6
206,white,53,9
206,white,37,13
206,white,44,11
206,white,32,6
206,white,40,8
206,white,43,23
206,white,42,12
206,white,12,30
206,white,33,23
206,white,17,24
206,white,9,11
206,white,10,12
206,white,16,18
206,white,27,49
206,white,47,7
206,white,0,8
206,white,58,4
206,white,59,13
206,white,36,35
206,white,22,8
206,white,31,9
206,white,30,16
206,white,5,12
206,white,38,21
206,white,52,10
206,white,54,9
206,white,7,3
206,white,13,6
206,white,63,3
206,white,14,2
206,white,41,4
206,white,39,9
206,white,55,5
206,white,61,4
206,white,62,2
206,white,8,4
206,white,46,7
206,white,50,6
206,black,36,55
206,black,43,39
206,black,44,21
206,black,26,22
206,black,34,31
206,black,47,16
206,black,45,57
206,black,28,31
206,black,51,38
206,black,57,15
206,black,52,29
206,black,37,23
206,black,10,9
206,black,62,24
206,black,19,10
206,black,59,25
206,black,1,2
206,black,61,12
206,black,3,6
206,black,29,17
206,black,20,11
206,black,4,4
206,black,55,5
206,black,12,6
206,black,35,39
206,black,0,9
206,black,40,16
