rate_diff,winner,count
548,white,5
548,black,0
548,draw,0
-189,white,5
-189,black,12
-189,draw,1
-373,white,4
-373,black,4
-373,draw,0
-46,white,23
-46,black,22
-46,draw,4
6,white,42
6,black,30
6,draw,2
-244,white,2
-244,black,9
-244,draw,0
-489,white,0
-489,black,2
-489,draw,1
81,white,18
81,black,11
81,draw,1
220,white,13
220,black,3
220,draw,0
219,white,21
219,black,3
219,draw,0
-170,white,4
-170,black,9
-170,draw,0
351,white,8
351,black,2
351,draw,0
-332,white,1
-332,black,4
-332,draw,0
227,white,9
227,black,4
227,draw,0
-382,white,1
-382,black,6
-382,draw,1
19,white,31
19,black,25
19,draw,1
-228,white,2
-228,black,14
-228,draw,0
8,white,19
8,black,31
8,draw,3
93,white,22
93,black,16
93,draw,1
-304,white,1
-304,black,16
-304,draw,0
-279,white,3
-279,black,9
-279,draw,2
77,white,27
77,black,16
77,draw,3
-57,white,25
-57,black,27
-57,draw,6
124,white,14
124,black,6
124,draw,2
-34,white,25
-34,black,21
-34,draw,3
-152,white,6
-152,black,15
-152,draw,3
534,white,5
534,black,0
534,draw,0
-109,white,10
-109,black,11
-109,draw,0
218,white,10
218,black,3
218,draw,2
104,white,17
104,black,12
104,draw,1
-239,white,2
-239,black,15
-239,draw,0
-309,white,0
-309,black,8
-309,draw,0
519,white,4
519,black,0
519,draw,0
415,white,5
415,black,0
415,draw,0
71,white,18
71,black,9
71,draw,1
-120,white,11
-120,black,19
-120,draw,1
-355,white,3
-355,black,9
-355,draw,0
-364,white,1
-364,black,9
-364,draw,0
355,white,8
355,black,0
355,draw,0
-345,white,1
-345,black,8
-345,draw,0
-335,white,1
-335,black,7
-335,draw,0
-254,white,2
-254,black,7
-254,draw,3
254,white,11
254,black,4
254,draw,0
-412,white,0
-412,black,2
-412,draw,1
405,white,6
405,black,0
405,draw,0
390,white,6
390,black,0
390,draw,0
-390,white,4
-390,black,4
-390,draw,0
-96,white,11
-96,black,13
-96,draw,2
-598,white,0
-598,black,2
-598,draw,0
122,white,17
122,black,9
122,draw,0
360,white,7
360,black,0
360,draw,1
-344,white,0
-344,black,3
-344,draw,0
310,white,12
310,black,2
310,draw,0
444,white,1
444,black,0
444,draw,1
-153,white,5
-153,black,13
-153,draw,0
67,white,16
67,black,23
67,draw,1
1076,white,1
1076,black,0
1076,draw,0
-127,white,16
-127,black,15
-127,draw,1
-184,white,10
-184,black,11
-184,draw,1
-473,white,3
-473,black,0
-473,draw,0
176,white,9
176,black,4
176,draw,1
-200,white,4
-200,black,12
-200,draw,1
619,white,3
619,black,1
619,draw,0
-641,white,1
-641,black,0
-641,draw,0
713,white,2
713,black,1
713,draw,0
516,white,3
516,black,0
516,draw,0
388,white,3
388,black,2
388,draw,0
-438,white,0
-438,black,5
-438,draw,0
599,white,2
599,black,0
599,draw,0
-198,white,5
-198,black,9
-198,draw,0
-95,white,15
-95,black,21
-95,draw,1
-183,white,3
-183,black,11
-183,draw,0
-284,white,2
-284,black,9
-284,draw,0
-329,white,1
-329,black,7
-329,draw,0
-188,white,9
-188,black,9
-188,draw,1
262,white,15
262,black,5
262,draw,1
724,white,3
724,black,0
724,draw,0
450,white,7
450,black,0
450,draw,6
473,white,2
473,black,1
473,draw,3
352,white,8
352,black,1
352,draw,0
-333,white,2
-333,black,10
-333,draw,1
525,white,1
525,black,0
525,draw,3
234,white,10
234,black,5
234,draw,3
211,white,14
211,black,1
211,draw,3
543,white,3
543,black,1
543,draw,3
467,white,6
467,black,0
467,draw,0
672,white,3
672,black,0
672,draw,0
-147,white,5
-147,black,16
-147,draw,2
88,white,22
88,black,15
88,draw,1
127,white,14
127,black,12
127,draw,1
-203,white,4
-203,black,9
-203,draw,0
504,white,1
504,black,1
504,draw,0
475,white,5
475,black,1
475,draw,0
-388,white,0
-388,black,3
-388,draw,0
-142,white,3
-142,black,9
-142,draw,0
-466,white,0
-466,black,5
-466,draw,1
341,white,9
341,black,0
341,draw,0
-341,white,1
-341,black,5
-341,draw,0
-264,white,2
-264,black,4
-264,draw,0
362,white,6
362,black,2
362,draw,1
349,white,8
349,black,1
349,draw,0
413,white,3
413,black,1
413,draw,0
-63,white,17
-63,black,27
-63,draw,1
161,white,15
161,black,5
161,draw,0
283,white,6
283,black,3
283,draw,0
446,white,5
446,black,2
446,draw,0
-295,white,3
-295,black,7
-295,draw,0
-298,white,3
-298,black,4
-298,draw,0
722,white,1
722,black,0
722,draw,0
244,white,3
244,black,3
244,draw,0
287,white,12
287,black,2
287,draw,0
168,white,8
168,black,9
168,draw,1
-389,white,1
-389,black,4
-389,draw,0
-705,white,0
-705,black,1
-705,draw,0
66,white,23
66,black,20
66,draw,1
171,white,12
171,black,5
171,draw,0
-212,white,3
-212,black,4
-212,draw,2
-303,white,2
-303,black,10
-303,draw,0
396,white,6
396,black,2
396,draw,0
-247,white,0
-247,black,8
-247,draw,0
468,white,6
468,black,1
468,draw,0
-384,white,0
-384,black,1
-384,draw,0
89,white,20
89,black,13
89,draw,2
-511,white,0
-511,black,7
-511,draw,0
-201,white,3
-201,black,13
-201,draw,0
187,white,15
187,black,1
187,draw,0
264,white,13
264,black,0
264,draw,0
-221,white,4
-221,black,7
-221,draw,1
-190,white,3
-190,black,8
-190,draw,0
-249,white,2
-249,black,10
-249,draw,0
-223,white,3
-223,black,16
-223,draw,0
90,white,18
90,black,11
90,draw,0
-485,white,1
-485,black,2
-485,draw,0
-40,white,18
-40,black,17
-40,draw,0
-52,white,18
-52,black,32
-52,draw,0
123,white,17
123,black,8
123,draw,2
-165,white,4
-165,black,11
-165,draw,2
-113,white,11
-113,black,12
-113,draw,0
269,white,10
269,black,1
269,draw,1
280,white,4
280,black,1
280,draw,0
-218,white,5
-218,black,7
-218,draw,0
30,white,19
30,black,21
30,draw,0
-150,white,7
-150,black,13
-150,draw,1
255,white,10
255,black,5
255,draw,2
273,white,13
273,black,6
273,draw,0
76,white,29
76,black,12
76,draw,3
241,white,9
241,black,2
241,draw,0
421,white,5
421,black,1
421,draw,2
145,white,18
145,black,6
145,draw,0
-458,white,1
-458,black,6
-458,draw,0
-138,white,7
-138,black,14
-138,draw,0
353,white,12
353,black,1
353,draw,0
380,white,7
380,black,4
380,draw,0
608,white,3
608,black,0
608,draw,0
-387,white,0
-387,black,2
-387,draw,0
100,white,14
100,black,13
100,draw,1
-360,white,1
-360,black,6
-360,draw,0
240,white,11
240,black,1
240,draw,1
337,white,6
337,black,4
337,draw,0
221,white,10
221,black,2
221,draw,2
278,white,7
278,black,2
278,draw,0
95,white,20
95,black,12
95,draw,4
51,white,19
51,black,15
51,draw,0
-114,white,9
-114,black,16
-114,draw,1
-89,white,15
-89,black,23
-89,draw,3
243,white,7
243,black,1
243,draw,0
507,white,3
507,black,0
507,draw,1
-124,white,6
-124,black,12
-124,draw,1
-324,white,0
-324,black,10
-324,draw,0
-246,white,1
-246,black,10
-246,draw,1
-302,white,8
-302,black,4
-302,draw,0
302,white,9
302,black,5
302,draw,1
96,white,20
96,black,10
96,draw,0
-259,white,2
-259,black,5
-259,draw,1
-286,white,9
-286,black,15
-286,draw,1
193,white,19
193,black,4
193,draw,1
286,white,11
286,black,6
286,draw,1
-145,white,7
-145,black,16
-145,draw,0
206,white,11
206,black,4
206,draw,0
144,white,19
144,black,6
144,draw,1
194,white,14
194,black,4
194,draw,0
-315,white,1
-315,black,5
-315,draw,1
-186,white,6
-186,black,5
-186,draw,0
169,white,11
169,black,5
169,draw,1
377,white,2
377,black,0
377,draw,0
232,white,7
232,black,3
232,draw,0
-326,white,3
-326,black,8
-326,draw,0
326,white,8
326,black,4
326,draw,0
304,white,10
304,black,0
304,draw,2
395,white,4
395,black,0
395,draw,1
308,white,6
308,black,1
308,draw,0
175,white,15
175,black,7
175,draw,0
-64,white,22
-64,black,19
-64,draw,4
173,white,13
173,black,7
173,draw,0
-187,white,6
-187,black,14
-187,draw,2
115,white,17
115,black,6
115,draw,0
-86,white,10
-86,black,22
-86,draw,2
99,white,10
99,black,12
99,draw,1
-585,white,1
-585,black,1
-585,draw,0
585,white,0
585,black,1
585,draw,0
38,white,22
38,black,21
38,draw,2
214,white,15
214,black,2
214,draw,0
-137,white,4
-137,black,18
-137,draw,2
321,white,6
321,black,2
321,draw,0
-106,white,10
-106,black,17
-106,draw,1
-160,white,4
-160,black,14
-160,draw,2
178,white,17
178,black,9
178,draw,0
185,white,9
185,black,4
185,draw,1
226,white,3
226,black,3
226,draw,0
542,white,2
542,black,0
542,draw,0
306,white,3
306,black,2
306,draw,1
-250,white,2
-250,black,8
-250,draw,1
192,white,13
192,black,6
192,draw,1
-482,white,0
-482,black,4
-482,draw,0
661,white,1
661,black,2
661,draw,0
1169,white,1
1169,black,0
1169,draw,0
991,white,1
991,black,0
991,draw,0
-727,white,0
-727,black,3
-727,draw,0
295,white,6
295,black,1
295,draw,1
432,white,3
432,black,1
432,draw,0
526,white,0
526,black,0
526,draw,1
-851,white,0
-851,black,1
-851,draw,0
-265,white,2
-265,black,4
-265,draw,0
-87,white,14
-87,black,11
-87,draw,0
275,white,9
275,black,2
275,draw,0
732,white,1
732,black,0
732,draw,0
-111,white,9
-111,black,13
-111,draw,0
150,white,14
150,black,6
150,draw,0
-328,white,5
-328,black,5
-328,draw,0
199,white,15
199,black,8
199,draw,1
82,white,21
82,black,16
82,draw,0
